x,y,z,ESP
16.566,21.74,17.402,37.93010729623359
27.918,21.904,17.159,38.32082398861081
27.267,22.048,13.912,39.15433136307946
16.473,21.72,13.427,37.57395892099224
17.961,24.098,13.912,39.15433731856114
28.755,24.426,13.427,37.573958696825045
28.098,24.962,17.319,38.97376271994051
17.58,24.807,17.164,38.69361143207784
17.13,21.184,17.319,38.97376330296474
27.648,21.339,17.164,38.69360775353263
27.109,21.524,13.881,39.75999027672634
16.681,21.029,13.385,37.37125724261968
18.119,24.622,13.881,39.75999759398267
28.547,25.117,13.385,37.37125738799067
28.383,24.955,16.701,38.92331420752724
17.868,24.621,16.475,39.02546133424038
16.845,21.191,16.701,38.9233146975869
27.36,21.525,16.475,39.02545774543884
27.267,21.556,14.405,39.83532531033686
16.473,21.07,14.076,37.904313164262476
17.961,24.59,14.405,39.83533108704154
28.755,25.076,14.076,37.90431316034118
22.614,29.173,15.43,37.888698214257616
22.614,28.547,15.969,38.33018291127071
23.143,28.447,15.43,38.23255711157206
21.957,29.741,15.43,37.774006004766434
22.614,16.973,15.43,37.88868672539722
22.614,17.599,15.969,38.3301719555181
22.085,17.699,15.43,38.23254368812826
23.271,16.405,15.43,37.773996831265485
22.614,16.803,14.812,37.81196932581711
22.614,29.343,14.812,37.81198490282893
23.726,28.663,15.43,37.97723035635639
23.166,28.618,15.981,38.142259347187355
21.307,29.644,15.43,37.92503755253962
21.954,29.708,16.089,38.26016914321479
21.502,17.483,15.43,37.977221744943606
22.062,17.528,15.981,38.14225090929916
23.921,16.502,15.43,37.925028256273436
23.274,16.438,16.089,38.26016311839258
23.264,16.537,14.78,37.58763089504462
22.072,17.627,14.888,38.18608343312887
21.964,29.609,14.78,37.58764572170165
23.156,28.519,14.888,38.1861016073484
22.614,28.467,16.503,38.45067813890253
22.614,17.679,16.503,38.45067040314411
22.614,16.6,14.142,37.60281531108823
22.614,29.546,14.142,37.602836182256894
22.614,28.709,17.764,38.28813984216721
23.166,28.302,17.044,38.72307985877889
22.614,28.623,17.113,38.45823392166342
21.932,29.538,17.425,38.39837834324436
22.614,17.437,17.764,38.288138147162634
22.062,17.844,17.044,38.72307535961445
22.614,17.523,17.113,38.45822965336548
23.296,16.608,17.425,38.39837697964985
22.614,16.975,12.904,37.460093995397855
23.276,16.798,13.493,37.18627531134001
22.614,16.757,13.514,37.41107584385904
21.962,16.894,13.522,37.72942210102971
22.614,29.171,12.904,37.46014379344402
21.952,29.348,13.493,37.18631354380434
22.614,29.389,13.514,37.41110866412697
23.266,29.252,13.522,37.72944787975766
23.173,28.534,16.538,38.436104158402955
21.965,29.411,16.716,38.53892349434246
22.055,17.612,16.538,38.43609829966675
23.263,16.735,16.716,38.53891910746833
23.273,16.637,14.123,37.342291706708124
22.015,17.222,14.242,38.04987171598935
21.955,29.509,14.123,37.34231492661391
23.213,28.924,14.242,38.04989336686331
23.648,28.063,16.463,38.93634900192168
21.262,29.599,16.781,38.23384318003229
21.58,18.083,16.463,38.93634268438551
23.966,16.547,16.781,38.233839310246466
23.886,16.931,14.158,37.75223897297338
21.481,17.603,14.297,38.22133254656057
21.342,29.215,14.158,37.75226248579209
23.747,28.543,14.297,38.22135092840055
24.68,28.062,15.43,39.33265374148054
24.123,28.049,15.43,38.84212077771683
24.169,28.112,15.961,39.024839519219334
20.241,28.801,15.43,39.4329055859688
20.756,29.197,15.43,38.57781951109164
20.706,29.252,16.082,38.41111367469601
20.548,18.084,15.43,39.33264731831241
21.105,18.097,15.43,38.842111342410156
21.059,18.034,15.961,39.02483308974137
24.987,17.345,15.43,39.43288943096576
24.472,16.949,15.43,38.57780702257845
24.522,16.894,16.082,38.411105545892255
24.375,17.369,14.828,38.87430740245028
21.059,18.034,14.898,38.67255553325582
20.853,28.777,14.828,38.87433124708751
24.169,28.112,14.898,38.67256762593125
23.722,28.534,15.989,38.30467907853214
21.288,29.606,16.099,38.124279001455875
21.506,17.612,15.989,38.30467264355394
23.94,16.54,16.099,38.12427235348842
23.9,16.735,14.78,37.92005558509684
21.486,17.515,14.86,38.11946720882128
21.328,29.411,14.78,37.92007102007973
23.742,28.631,14.86,38.11947997836969
26.167,27.402,15.43,41.05439852402871
26.242,27.297,16.026,43.562643174273944
19.188,27.247,15.43,44.23114087732737
19.181,27.071,15.994,41.61591509317404
19.061,18.744,15.43,41.05439587489913
18.986,18.849,16.026,43.562641171184964
26.04,18.899,15.43,44.23112790146354
26.047,19.075,15.994,41.61590584546224
26.047,19.075,14.865,47.22336010124479
19.051,18.924,14.843,39.74968691740479
19.181,27.071,14.865,47.223376861133616
26.177,27.222,14.843,39.74969043825825
25.616,27.174,16.528,42.880827033338996
25.634,27.392,15.993,41.61374609712693
19.381,27.49,16.613,39.59420201320066
19.537,27.473,16.004,40.903714200666926
19.612,18.972,16.528,42.88082442437785
19.594,18.754,15.993,41.613742934666725
25.847,18.656,16.613,39.594195739460005
25.691,18.673,16.004,40.90370319202132
25.847,18.656,14.246,47.361848299003
25.805,18.51,14.834,45.598467132033164
19.554,18.893,14.31,38.98193758554666
19.48,18.591,14.845,39.59566943150658
19.381,27.49,14.246,47.36187417956071
19.423,27.636,14.834,45.59848960676003
25.674,27.253,14.31,38.98194398085038
25.748,27.555,14.845,39.59567398372508
25.614,27.563,15.43,40.415095846224204
19.447,27.812,15.43,42.710793440810335
19.614,18.583,15.43,40.41509189154703
25.781,18.334,15.43,42.71077774438142
24.673,27.817,15.976,39.66894517019537
25.112,27.747,15.43,39.83263024851304
20.199,28.638,16.07,39.19770538283768
19.738,28.453,15.43,40.70290508806326
20.555,18.329,15.976,39.66893987845627
20.116,18.399,15.43,39.83262482720655
25.029,17.508,16.07,39.19769486887022
25.49,17.693,15.43,40.702887916317295
24.95,17.691,14.81,39.9922434082537
20.595,18.42,14.894,39.065685257486294
20.278,28.455,14.81,39.99227331855409
24.633,27.726,14.894,39.06569534966931
25.084,27.502,15.967,40.381205298070384
19.708,28.284,16.062,39.863729005534935
20.144,18.644,15.967,40.38120071738564
25.52,17.862,16.062,39.86371896963299
25.375,18.122,14.829,42.10551796920538
20.095,18.557,14.882,39.354125452487494
19.853,28.024,14.829,42.10554749862301
25.133,27.589,14.882,39.35413282743824
24.678,27.614,16.495,40.122815817826734
20.146,28.504,16.704,38.7499085392275
20.55,18.532,16.495,40.12281162322617
25.082,17.642,16.704,38.749902174107724
24.839,18.176,14.281,40.403771874547026
20.348,18.087,14.26,38.68358171905474
20.389,27.97,14.281,40.40381622336227
24.88,28.059,14.26,38.6835917523448
24.9,27.645,17.716,40.95750496874328
25.199,27.282,17.054,41.960225419732595
24.739,27.536,17.043,40.60254217628345
19.879,28.544,18.165,37.232200445269186
19.483,28.173,17.398,38.11143082167111
19.957,28.652,17.447,37.95395497696018
20.328,18.501,17.716,40.9575035226176
20.029,18.864,17.054,41.96022299643885
20.489,18.61,17.043,40.60253925782827
25.349,17.602,18.165,37.23220154093559
25.745,17.973,17.398,38.111428600482554
25.271,17.494,17.447,37.953952796442586
24.9,18.501,13.143,39.985793289638465
25.348,18.621,13.711,42.32868233128975
24.821,18.438,13.754,40.38432864431553
20.165,18.174,12.98,38.749916188504045
19.831,18.54,13.68,38.56775520756889
20.202,18.009,13.599,38.419891991770214
20.328,27.645,13.143,39.98591673423085
19.88,27.525,13.711,42.32873130224933
20.407,27.708,13.754,40.38439534187774
25.063,27.972,12.98,38.74992750385576
25.397,27.606,13.68,38.567763919208005
25.026,28.137,13.599,38.41990255742751
25.081,27.292,16.485,41.038479779433985
19.604,28.22,16.718,38.95234377446017
20.147,18.854,16.485,41.038476099924246
25.624,17.926,16.718,38.95233838229342
25.279,18.517,14.289,42.5578088203621
19.851,18.348,14.247,38.80721365366464
19.949,27.629,14.289,42.55784836292362
25.377,27.798,14.247,38.80722086139471
22.614,27.033,19.389,37.66181185879882
23.211,27.297,19.057,37.978408330618294
22.614,27.325,18.919,38.144511448208576
22.049,27.071,18.863,37.98337197109759
22.614,19.113,19.389,37.6618088084551
22.017,18.849,19.057,37.978406004684366
22.614,18.821,18.919,38.144509182614996
23.179,19.075,18.863,37.983369875986924
22.614,18.972,11.328,38.275218607326615
23.243,18.622,11.608,38.31798927664572
22.614,18.667,11.814,38.566138065290545
21.985,18.622,11.608,38.619557560265044
22.614,27.174,11.328,38.27531183120195
21.985,27.524,11.608,38.318206100836264
22.614,27.479,11.814,38.56624215163866
23.243,27.524,11.608,38.619608631294476
22.614,27.729,18.541,38.26781034800748
23.199,27.555,18.564,38.308533511715694
22.029,27.555,18.564,38.25098198508121
22.614,18.417,18.541,38.26780849352853
22.029,18.591,18.564,38.308531432127
23.199,18.591,18.564,38.250980272237456
22.614,18.167,12.152,38.57389651128141
23.241,18.265,12.068,38.39548620564246
21.966,18.102,11.954,38.67554575195361
22.614,27.979,12.152,38.573995660283046
21.987,27.881,12.068,38.39569526387799
23.262,28.044,11.954,38.675594178064145
23.734,27.253,18.49,38.636776948165874
21.409,27.568,18.72,37.97121087969277
21.494,18.893,18.49,38.63677490431067
23.819,18.578,18.72,37.9712103413015
23.819,18.578,12.139,38.230302489724934
21.24,17.947,11.677,38.667952405528816
21.409,27.568,12.139,38.23067683427906
23.988,28.199,11.677,38.667975499193815
24.228,27.536,17.555,39.769457174148016
24.364,27.606,18.213,39.55180032995682
20.535,28.823,18.168,37.42660958278336
20.614,28.254,18.611,37.29020685989377
21.0,18.61,17.555,39.769454479107466
20.864,18.54,18.213,39.55179908731431
24.693,17.323,18.168,37.42661050052227
24.614,17.892,18.611,37.29020874843701
