x,y,z,ESP,MHP
-4.348,12.3,6.897,-18.08015033588338,0.07314429652480027
-5.311,13.087,6.984,-17.800482612764732,0.06221122870076118
-5.321,22.494,6.974,-13.689391553764324,0.07778198769645236
-4.385,22.395,6.984,-14.274448409216347,0.11278215018587853
-4.848,22.547,8.403,-13.239788574249761,0.0456369161340129
-4.891,12.368,8.576,-17.812583667642677,0.10447137674137577
-4.905,12.362,6.343,-18.300933089106163,0.07738138946286682
-4.848,22.449,6.511,-14.459370699316324,0.10369127480096743
-4.848,22.268,9.322,-14.263035915022979,0.04343680033997127
-4.367,22.304,8.856,-14.291023812872481,0.02884565832642324
-4.848,22.334,8.84,-13.833818277480681,0.03870568647009277
-5.33,22.304,8.856,-13.49337240893194,0.04504837532050233
-4.848,13.399,9.246,-16.918081535975496,0.08107708154688069
-5.33,13.178,8.856,-17.306293629263784,0.07913392564408153
-4.837,12.481,9.021,-17.592539655710898,0.11111064307218124
-4.377,13.273,8.826,-17.39775165676268,0.0671737400488721
-4.879,12.687,5.301,-18.1548347009181,0.07204266349890129
-4.335,12.543,5.754,-18.182662140153546,0.07157735593434028
-4.848,13.148,6.054,-17.83165892391841,0.055638608012671203
-5.33,13.178,6.038,-17.870536288284942,0.056526742375107866
-4.848,22.268,5.572,-15.741519543072082,0.11036732607882632
-5.34,22.399,6.009,-15.036630554003246,0.0857527667062175
-4.848,22.334,6.054,-15.13631743652807,0.10357704382237345
-4.377,22.209,6.068,-15.493555609905183,0.10794772651697687
-4.369,22.421,8.397,-13.73943660572333,0.04198769591592886
-5.328,22.421,8.397,-13.12115191895119,0.04682136539660013
-5.328,13.06,8.397,-17.62130830745142,0.0696782533038201
-4.319,12.395,8.585,-17.983754194909796,0.08747800626958632
-4.336,12.392,6.316,-18.16139965613204,0.06988435125348502
-5.328,13.06,6.497,-17.90423031654953,0.06123086935349456
-5.328,22.421,6.497,-14.354579906340536,0.08186907038827444
-4.389,22.226,6.537,-14.968765051960265,0.10634760864692078
-3.914,22.251,8.381,-14.440726298798152,0.03913216324783373
-5.802,22.347,8.401,-13.007264292506214,0.047165997506600145
-5.763,13.326,8.361,-17.57177992116992,0.05979940050533969
-3.894,13.134,8.401,-17.701983407864795,0.06064210501660344
-3.755,12.482,6.307,-18.147701481055606,0.06514822866904656
-5.782,13.23,6.513,-17.79582529087885,0.062418753015630116
-5.802,22.347,6.493,-14.291678910969036,0.06482272431264027
-4.033,21.676,6.632,-15.675442724203952,0.07813398980623196
-3.394,21.252,7.447,-15.92853907451823,0.06817145179766053
-3.6,21.856,7.447,-15.392526914275837,0.08305896020213711
-3.586,21.829,7.878,-15.386554993275265,0.06659294002462385
-6.762,22.36,7.447,-13.239854054608145,0.06812193540977766
-6.271,22.43,7.447,-13.056154268662828,0.05926313652581886
-6.286,22.399,7.939,-12.870108129524445,0.053988512989468024
-6.303,14.23,7.447,-16.836099102953956,0.07072225912692447
-6.068,13.722,7.447,-17.192864045023676,0.0643548018565246
-6.081,13.748,7.868,-17.233219709610463,0.06267168718229452
-2.67,12.701,7.48,-18.09289329122389,0.06579082663775125
-3.205,12.502,7.487,-18.082369584423617,0.06485633151086684
-3.207,12.536,8.054,-18.163428146915205,0.07115784470796083
-3.184,12.539,6.884,-18.127435111120505,0.06050690104513449
-6.052,13.843,7.036,-17.08962176360043,0.06416589062197252
-6.286,22.399,6.955,-13.516983343250867,0.06110280562541239
-3.645,21.639,7.036,-15.746527313237372,0.07903416108931385
-3.918,22.324,7.916,-14.198563335345352,0.0715211480248877
-5.798,22.421,7.926,-12.898697011168357,0.052526063809374114
-5.779,13.158,7.916,-17.793506000152266,0.059285399990974236
-3.761,12.393,8.057,-18.10075842359408,0.07289978426386617
-3.759,12.388,6.888,-18.071788085405064,0.06416747488003371
-5.759,13.255,6.988,-17.655281240033805,0.06363969499450689
-5.798,22.421,6.968,-13.637857646249952,0.06420284535555168
-4.017,21.836,7.027,-15.278677963767734,0.08368134592222935
-2.565,20.524,7.447,-16.391210446769787,0.06813393174926825
-2.322,20.683,7.863,-16.48148304805615,0.07032421836118644
-8.02,21.606,7.447,-15.2675188134886,0.11107937746554386
-7.763,21.135,7.927,-15.709674481047738,0.07918516887270105
-7.005,15.113,7.447,-16.49879603299384,0.07904611510869339
-7.116,15.101,7.82,-16.576181876400522,0.08537714427520714
-1.867,14.108,7.447,-17.226973177823595,0.05118676980196442
-1.869,14.271,7.937,-17.232305320809967,0.05306280201856377
